order_id,customer,amount,status,created_at,updated_at
ORD-1025,Alpha Inc,2033.37,Processing,2024-01-05 06:00:00,2024-01-05 08:00:00
ORD-1026,Alpha Inc,1931.17,Pending,2024-01-07 10:00:00,2024-01-10 02:00:00
ORD-1027,Delta Printing,3400.47,Shipped,2024-01-05 04:00:00,2024-01-07 01:00:00
ORD-1028,Alpha Inc,1240.29,Pending,2024-01-03 17:00:00,2024-01-05 08:00:00
ORD-1029,Alpha Inc,4679.0,Processing,2024-01-08 12:00:00,2024-01-09 16:00:00
ORD-1030,Delta Printing,2025.14,Processing,2024-01-08 18:00:00,2024-01-10 12:00:00
ORD-1031,Gamma Labs,3228.39,Shipped,2024-01-02 23:00:00,2024-01-04 03:00:00
ORD-1032,Delta Printing,2241.02,Pending,2024-01-03 17:00:00,2024-01-04 18:00:00
ORD-1033,Beta Co,4478.92,Shipped,2024-01-02 11:00:00,2024-01-03 02:00:00
MISSING-34,Gamma Labs,1437.58,Shipped,2024-01-04 06:00:00,2024-01-07 04:00:00
ORD-1035,Alpha Inc,3969.16,Shipped,2024-01-03 21:00:00,2024-01-04 14:00:00
ORD-1036,Delta Printing,3712.86,Processing,2024-01-03 14:00:00,2024-01-03 15:00:00
ORD-1037,Delta Printing,3006.96,Shipped,2024-01-09 15:00:00,2024-01-10 10:00:00
ORD-1038,Beta Co,3656.99,Processing,2024-01-04 15:00:00,2024-01-05 20:00:00
ORD-1039,Gamma Labs,105.25,Processing,2024-01-07 02:00:00,2024-01-09 06:00:00
ORD-1040,Delta Printing,348.25,Pending,2024-01-04 12:00:00,2024-01-04 18:00:00
ORD-1041,Beta Co,3945.42,Processing,2024-01-01 14:00:00,2024-01-03 13:00:00
ORD-1042,Delta Printing,1819.09,Shipped,2024-01-06 12:00:00,2024-01-08 18:00:00
ORD-1043,Alpha Inc,801.06,Pending,2024-01-05 15:00:00,2024-01-07 00:00:00
MISSING-44,Gamma Labs,3860.8,Processing,2024-01-05 20:00:00,2024-01-06 07:00:00
ORD-1045,Delta Printing,3733.87,Processing,2024-01-09 08:00:00,2024-01-10 18:00:00
ORD-1046,Beta Co,192.9,Shipped,2024-01-09 16:00:00,2024-01-12 03:00:00
ORD-1047,Alpha Inc,2206.09,Processing,2024-01-01 11:00:00,2024-01-02 06:00:00
ORD-1048,Alpha Inc,3135.81,Shipped,2024-01-08 05:00:00,2024-01-10 07:00:00
ORD-1049,Delta Printing,227.77,Processing,2024-01-09 14:00:00,2024-01-11 02:00:00
ORD-1050,Gamma Labs,4070.35,Pending,2024-01-02 11:00:00,2024-01-03 12:00:00
ORD-1051,Alpha Inc,477.28,Processing,2024-01-02 07:00:00,2024-01-03 15:00:00
ORD-1052,Delta Printing,956.87,Pending,2024-01-09 00:00:00,2024-01-10 22:00:00
ORD-1053,Alpha Inc,1292.67,Pending,2024-01-03 12:00:00,2024-01-06 12:00:00
ORD-1054,Delta Printing,1483.46,Shipped,2024-01-04 11:00:00,2024-01-05 09:00:00
ORD-1055,Delta Printing,1168.61,Processing,2024-01-07 05:00:00,2024-01-08 04:00:00
ORD-1056,Delta Printing,886.5,Shipped,2024-01-01 00:00:00,2024-01-02 08:00:00
ORD-1057,Gamma Labs,4635.73,Processing,2024-01-06 14:00:00,2024-01-08 10:00:00
ORD-1058,Alpha Inc,1820.4,Shipped,2024-01-04 23:00:00,2024-01-07 15:00:00
ORD-1059,Alpha Inc,1641.38,Pending,2024-01-03 18:00:00,2024-01-05 12:00:00
ORD-1060,Alpha Inc,4683.85,Pending,2024-01-07 08:00:00,2024-01-09 12:00:00
ORD-1061,Delta Printing,3675.33,Shipped,2024-01-01 01:00:00,2024-01-02 17:00:00
ORD-1062,Delta Printing,1951.4,Pending,2024-01-03 17:00:00,2024-01-04 14:00:00
ORD-1063,Alpha Inc,396.78,Pending,2024-01-06 15:00:00,2024-01-07 22:00:00
ORD-1064,Beta Co,4645.45,Shipped,2024-01-01 11:00:00,2024-01-04 06:00:00
ORD-1065,Delta Printing,3331.94,Processing,2024-01-06 22:00:00,2024-01-09 22:00:00
ORD-1066,Delta Printing,806.14,Processing,2024-01-04 05:00:00,2024-01-04 19:00:00
ORD-1067,Alpha Inc,3321.74,Pending,2024-01-01 21:00:00,2024-01-04 06:00:00
ORD-1068,Delta Printing,2363.41,Shipped,2024-01-05 13:00:00,2024-01-07 22:00:00
ORD-1069,Gamma Labs,1729.5629949259408,Pending,2024-01-04 07:00:00,2024-01-06 17:00:00
ORD-1070,Alpha Inc,2368.17,Processing,2024-01-07 10:00:00,2024-01-09 21:00:00
ORD-1071,Delta Printing,824.66,Processing,2024-01-06 08:00:00,2024-01-07 02:00:00
ORD-1072,Beta Co,1804.0,Shipped,2024-01-10 12:00:00,2024-01-10 22:00:00
ORD-1073,Delta Printing,3160.62,Pending,2024-01-04 21:00:00,2024-01-07 15:00:00
ORD-1074,Alpha Inc,4617.36,Shipped,2024-01-04 09:00:00,2024-01-07 04:00:00
ORD-1075,Delta Printing,3198.25,Processing,2024-01-07 12:00:00,2024-01-09 18:00:00
ORD-1076,Beta Co,434.65,Pending,2024-01-06 14:00:00,2024-01-08 21:00:00
ORD-1077,Alpha Inc,833.82,Pending,2024-01-09 06:00:00,2024-01-11 15:00:00
ORD-1078,Beta Co,4819.58,Shipped,2024-01-03 18:00:00,2024-01-04 07:00:00
ORD-1079,Alpha Inc,3882.51,Shipped,2024-01-01 13:00:00,2024-01-03 03:00:00
ORD-1080,Delta Printing,3515.32,Processing,2024-01-08 02:00:00,2024-01-11 01:00:00
ORD-1081,Gamma Labs,652.71,Shipped,2024-01-02 19:00:00,2024-01-05 01:00:00
ORD-1082,Beta Co,4976.55,Processing,2024-01-08 20:00:00,2024-01-09 11:00:00
ORD-1083,Delta Printing,2379.88,Shipped,2024-01-10 06:00:00,2024-01-11 04:00:00
ORD-1084,Delta Printing,656.05,Pending,2024-01-03 18:00:00,2024-01-04 19:00:00
ORD-1085,Beta Co,3382.95,Pending,2024-01-08 00:00:00,2024-01-09 21:00:00
ORD-1086,Gamma Labs,1796.8,Processing,2024-01-02 14:00:00,2024-01-04 17:00:00
ORD-1087,Gamma Labs,4055.69,Processing,2024-01-01 05:00:00,2024-01-01 17:00:00
ORD-1088,Beta Co,3258.21,Pending,2024-01-08 19:00:00,2024-01-11 15:00:00
ORD-1089,Beta Co,447.55,Pending,2024-01-06 13:00:00,2024-01-09 06:00:00
ORD-1090,Beta Co,2092.98,Pending,2024-01-05 13:00:00,2024-01-07 23:00:00
ORD-1091,Alpha Inc,2476.16,Pending,2024-01-09 04:00:00,2024-01-09 12:00:00
ORD-1092,Alpha Inc,187.79,Processing,2024-01-04 11:00:00,2024-01-05 21:00:00
ORD-1093,Beta Co,3759.48,Pending,2024-01-07 11:00:00,2024-01-10 09:00:00
ORD-1094,Beta Co,3776.42,Pending,2024-01-07 11:00:00,2024-01-09 22:00:00
ORD-1095,Beta Co,208.61,Processing,2024-01-05 09:00:00,2024-01-06 11:00:00
ORD-1096,Beta Co,4413.82,Shipped,2024-01-04 14:00:00,2024-01-06 13:00:00
ORD-1097,Beta Co,2985.74,Processing,2024-01-07 22:00:00,2024-01-09 05:00:00
ORD-1098,Beta Co,1838.31,Shipped,2024-01-08 06:00:00,2024-01-09 15:00:00
ORD-1099,Gamma Labs,1314.53,Shipped,2024-01-01 11:00:00,2024-01-03 09:00:00
ORD-1100,Alpha Inc,481.43,Processing,2024-01-03 04:00:00,2024-01-04 20:00:00
ORD-1101,Beta Co,970.48,Processing,2024-01-05 02:00:00,2024-01-07 16:00:00
ORD-1102,Alpha Inc,3059.73,Processing,2024-01-07 13:00:00,2024-01-08 13:00:00
ORD-1103,Beta Co,242.42,Pending,2024-01-08 05:00:00,2024-01-09 09:00:00
ORD-1104,Gamma Labs,977.24,Shipped,2024-01-03 02:00:00,2024-01-04 06:00:00
ORD-1105,Beta Co,4171.46,Pending,2024-01-02 04:00:00,2024-01-03 08:00:00
ORD-1106,Alpha Inc,791.6019898082328,Shipped,2024-01-07 09:00:00,2024-01-07 12:00:00
ORD-1107,Beta Co,4080.45,Pending,2024-01-05 18:00:00,2024-01-08 16:00:00
ORD-1108,Delta Printing,1913.9,Processing,2024-01-03 17:00:00,2024-01-04 12:00:00
ORD-1109,Gamma Labs,2159.73,Shipped,2024-01-01 08:00:00,2024-01-02 14:00:00
ORD-1110,Beta Co,1895.92,Shipped,2024-01-08 03:00:00,2024-01-10 21:00:00
ORD-1111,Beta Co,3916.82,Pending,2024-01-10 16:00:00,2024-01-12 12:00:00
ORD-1112,Alpha Inc,4340.72,Shipped,2024-01-05 03:00:00,2024-01-06 11:00:00
ORD-1113,Beta Co,3526.93,Processing,2024-01-06 21:00:00,2024-01-08 17:00:00
ORD-1114,Beta Co,349.3818052105554,Processing,2024-01-08 01:00:00,2024-01-10 10:00:00
ORD-1115,Gamma Labs,3156.1647417485465,Processing,2024-01-02 13:00:00,2024-01-03 02:00:00
ORD-1116,Delta Printing,832.39,Processing,2024-01-05 14:00:00,2024-01-07 13:00:00
ORD-1117,Delta Printing,956.15,Pending,2024-01-09 23:00:00,2024-01-12 02:00:00
ORD-1118,Gamma Labs,3960.983496433829,Shipped,2024-01-09 06:00:00,2024-01-10 22:00:00
ORD-1119,Delta Printing,4623.17,Processing,2024-01-02 00:00:00,2024-01-02 17:00:00
